Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
1780,Europe and Northern America,,,1829,Western Asia,922,4 811 613,5 390 202,5 814 585,5 853 813,6 054 206,6 301 781,7 281 698,7 957 936
1781,Europe and Northern America,,,1829,Armenia,51,599 987,589 731,563 834,596 482,616 458,565 835,515 978,480 155
1782,Europe and Northern America,,,1829,Azerbaijan,31,1 045 780,1 018 582,960 402,917 762,855 383,676 252,537 589,426 381
1783,Europe and Northern America,,,1829,Bahrain,48,89,133,160,153,168,220,279,325
1784,Europe and Northern America,,,1829,Cyprus,196,50 751,38 933,27 707,27 811,28 566,28 497,29 813,31 862
1785,Europe and Northern America,,,1829,Georgia,268,791 814,799 637,788 817,709 429,626 438,501 124,422 255,383 157
1786,Europe and Northern America,,,1829,Iraq,368,118 219,146 827,345 709,428 955,619 880,763 776,1 001 337,1 092 832
1787,Europe and Northern America,,,1829,Israel,376,136 644,196 304,166 652,186 320,201 475,213 841,215 195,228 473
1788,Europe and Northern America,,,1829,Jordan,400,11 512,12 081,13 253,16 072,19 238,23 631,28 618,32 542
1789,Europe and Northern America,,,1829,Kuwait,414,2 633,5 395,9 921,12 664,15 698,18 862,21 434,23 595
1790,Europe and Northern America,,,1829,Lebanon,422,216 241,218 765,258 448,272 814,305 229,327 240,352 790,376 986
1791,Europe and Northern America,,,1829,Oman,512,32,43,61,64,85,130,162,190
1792,Europe and Northern America,,,1829,Qatar,634,49,63,96,686,1 327,1 393,1 635,1 782
1793,Europe and Northern America,,,1829,Saudi Arabia,682,2 995,5 354,9 980,14 223,24 970,34 793,40 868,49 797
1794,Europe and Northern America,,,1829,State of Palestine,275,7 821,8 898,8 942,11 640,16 984,21 350,32 098,38 674
1795,Europe and Northern America,,,1829,Syrian Arab Republic,760,73 031,88 554,111 319,132 467,147 757,532 630,1 383 602,1 799 096
1796,Europe and Northern America,,,1829,Türkiye,792,1 752 391,2 257 577,2 542 688,2 515 298,2 558 095,2 567 461,2 664 020,2 948 487
1797,Europe and Northern America,,,1829,United Arab Emirates,784,1 198,2 849,6 101,10 378,15 694,23 728,32 136,41 445
1798,Europe and Northern America,,,1829,Yemen,887,426,476,495,595,761,1 018,1 889,2 157
1799,Europe and Northern America,,,1829,EUROPE,908,36 375 003,38 228 299,37 378 470,38 593 939,41 432 538,42 894 822,44 586 928,51 769 111
1800,Europe and Northern America,,,1829,Eastern Europe,923,18 674 625,18 404 469,17 940 958,19 105 631,21 063 148,21 641 349,22 419 507,28 658 060
1801,Europe and Northern America,,,1829,Belarus,112,1 537 196,1 525 734,1 484 282,1 357 317,1 216 554,987 375,825 068,695 211
1802,Europe and Northern America,,,1829,Bulgaria,100,107 637,161 272,198 701,331 680,483 947,620 822,784 753,872 389
1803,Europe and Northern America,,,1829,Czechia,203,492 217,545 788,579 037,615 675,627 297,591 643,550 811,549 750
1804,Europe and Northern America,,,1829,Hungary,348,295 556,308 821,311 084,313 864,338 454,431 524,473 679,503 678
1805,Europe and Northern America,,,1829,Poland,616,2 062 540,2 312 686,2 306 119,2 631 593,3 531 250,4 020 551,4 233 019,4 440 491
1806,Europe and Northern America,,,1829,Republic of Moldova*,498,567 930,548 035,525 204,595 367,687 004,711 653,774 929,824 050
1807,Europe and Northern America,,,1829,Romania,642,767 694,949 710,1 048 529,1 802 830,2 838 579,3 392 802,4 041 299,4 426 286
1808,Europe and Northern America,,,1829,Russian Federation,643,7 760 073,6 848 074,6 172 290,6 172 651,6 214 695,6 293 797,6 465 136,6 728 196
1809,Europe and Northern America,,,1829,Slovakia,703,316 731,328 943,345 200,363 857,392 297,393 320,386 603,382 259
1810,Europe and Northern America,,,1829,Ukraine*,804,4 767 051,4 875 406,4 970 512,4 920 797,4 733 071,4 197 862,3 884 210,9 235 750
1811,Europe and Northern America,,,1829,Northern Europe,924,4 118 847,4 143 112,4 066 225,4 247 639,4 490 853,4 540 814,4 660 330,4 816 720
1812,Europe and Northern America,,,1829,Channel Islands*,830,184,198,212,235,255,171,172,175
1813,Europe and Northern America,,,1829,Denmark*,208,108 417,100 342,96 529,101 862,105 034,104 306,101 817,105 977
1814,Europe and Northern America,,,1829,Estonia,233,97 818,100 490,106 023,110 843,111 671,121 827,116 802,117 245
1815,Europe and Northern America,,,1829,Faroe Islands*,234,7 941,12 021,11 640,11 018,12 146,13 041,12 048,12 282
1816,Europe and Northern America,,,1829,Finland*,246,253 703,242 255,234 372,222 495,207 318,195 383,182 271,169 190
1817,Europe and Northern America,,,1829,Iceland,352,6 245,7 747,10 595,12 120,14 748,17 977,19 349,21 788
1818,Europe and Northern America,,,1829,Ireland,372,859 101,835 685,740 085,691 888,675 780,650 102,619 637,605 725
1819,Europe and Northern America,,,1829,Isle of Man*,833,18,16,14,12,9,15,23,30
1820,Europe and Northern America,,,1829,Latvia,428,152 421,159 322,164 548,167 684,170 935,164 019,156 116,151 189
1821,Europe and Northern America,,,1829,Lithuania,440,304 739,278 324,262 116,260 096,340 386,396 166,424 553,447 032
1822,Europe and Northern America,,,1829,Norway*,578,79 176,72 106,70 374,75 046,76 760,79 075,87 561,93 373
1823,Europe and Northern America,,,1829,Sweden,752,99 309,104 598,120 298,132 688,153 729,164 626,174 560,197 639
1824,Europe and Northern America,,,1829,United Kingdom*,826,2 149 775,2 230 008,2 249 419,2 461 652,2 622 082,2 634 106,2 765 421,2 895 075
1825,Europe and Northern America,,,1829,Southern Europe,925,7 892 059,8 858 192,9 206 176,8 910 664,9 172 738,9 858 605,10 537 041,11 099 478
1826,Europe and Northern America,,,1829,Albania,8,177 112,392 305,626 986,781 462,957 809,979 880,1 097 079,1 209 371
1827,Europe and Northern America,,,1829,Andorra,20,141,282,436,448,378,434,543,627
1828,Europe and Northern America,,,1829,Bosnia and Herzegovina,70,1 094 173,1 686 941,1 594 982,1 455 152,1 439 777,1 438 755,1 507 719,1 577 085
1829,Europe and Northern America,,,1829,Croatia,191,781 369,994 967,1 133 959,917 533,774 837,736 594,766 722,774 571
1830,Europe and Northern America,,,1829,Gibraltar*,292,15,17,18,18,23,19,19,23
1831,Europe and Northern America,,,1829,Greece,300,591 237,595 849,631 552,556 007,505 305,583 376,609 887,623 457
1832,Europe and Northern America,,,1829,Holy See*,336,2,5,8,4,2,6,2,2
1833,Europe and Northern America,,,1829,Italy,380,2 536 684,2 421 645,2 348 428,2 168 201,2 138 987,2 278 774,2 461 572,2 543 079
1834,Europe and Northern America,,,1829,Malta,470,11 953,11 624,11 325,10 391,9 970,10 206,9 574,9 249
1835,Europe and Northern America,,,1829,Montenegro,499,100 316,100 287,96 328,93 721,97 593,99 385,91 288,87 418
1836,Europe and Northern America,,,1829,North Macedonia,807,205 087,217 888,230 544,266 571,303 120,343 306,395 286,450 257
1837,Europe and Northern America,,,1829,Portugal,620,1 170 783,1 176 871,1 227 795,1 332 713,1 477 311,1 588 733,1 556 722,1 552 125
1838,Europe and Northern America,,,1829,San Marino,674,2 457,2 382,2 237,2 080,1 954,1 866,2 433,1 991
1839,Europe and Northern America,,,1829,Serbia*,688,288 814,362 847,413 441,465 748,579 975,737 049,822 793,929 431
1840,Europe and Northern America,,,1829,Slovenia,705,100 445,112 651,97 424,84 394,81 689,82 255,73 201,71 979
1841,Europe and Northern America,,,1829,Spain*,724,831 471,781 631,790 713,776 221,804 008,977 967,1 142 201,1 268 813
1842,Europe and Northern America,,,1829,Western Europe,926,5 689 472,6 822 526,6 165 111,6 330 005,6 705 799,6 854 054,6 970 050,7 194 853
1843,Europe and Northern America,,,1829,Austria,40,368 168,359 999,356 971,353 713,355 578,359 177,367 834,368 744
1844,Europe and Northern America,,,1829,Belgium,56,281 958,272 815,277 671,330 640,353 176,379 218,417 460,445 121
1845,Europe and Northern America,,,1829,France*,250,1 046 193,1 216 041,1 254 908,1 334 259,1 448 213,1 588 889,1 689 870,1 798 599
1846,Europe and Northern America,,,1829,Germany,276,3 311 345,4 252 770,3 513 579,3 476 265,3 651 474,3 613 695,3 563 517,3 602 265
1847,Europe and Northern America,,,1829,Liechtenstein,438,17,24,48,150,259,285,308,339
1848,Europe and Northern America,,,1829,Luxembourg,442,27 539,28 878,30 701,33 693,36 385,40 770,42 848,61 450
1849,Europe and Northern America,,,1829,Monaco,492,15 345,15 489,16 132,19 340,25 832,28 277,33 430,36 280
1850,Europe and Northern America,,,1829,Netherlands*,528,291 971,305 977,324 132,366 259,400 516,404 973,411 225,435 009
1851,Europe and Northern America,,,1829,Switzerland,756,346 936,370 533,390 969,415 686,434 366,438 770,443 558,447 046
1852,Europe and Northern America,,,1829,LATIN AMERICA AND THE CARIBBEAN,904,10 543 785,14 842 407,18 981 495,23 697 976,27 072 051,28 479 253,30 490 374,33 512 055
1853,Europe and Northern America,,,1829,Caribbean,915,3 134 838,3 856 446,4 495 776,5 003 474,5 949 250,6 714 580,7 421 518,7 986 890
1854,Europe and Northern America,,,1829,Anguilla*,660,20,33,47,47,46,39,38,49
1855,Europe and Northern America,,,1829,Antigua and Barbuda,28,13,15,17,28,44,47,52,57
1856,Europe and Northern America,,,1829,Aruba*,533,312,496,940,1 480,2 744,4 372,11 613,23 408
1857,Europe and Northern America,,,1829,Bahamas,44,38,45,50,59,78,88,95,107
1858,Europe and Northern America,,,1829,Barbados,52,14 878,14 811,14 730,15 332,15 868,15 316,13 985,13 137
1859,Europe and Northern America,,,1829,"Bonaire, Sint Eustatius and Saba*",535,0..,0..,0..,0..,0..,1,0..,0..
1860,Europe and Northern America,,,1829,British Virgin Islands*,92,33,45,55,69,84,65,65,88
1861,Europe and Northern America,,,1829,Cayman Islands*,136,15,13,11,7,3,11,9,10
1862,Europe and Northern America,,,1829,Cuba,192,776 255,853 682,963 976,1 021 978,1 253 435,1 424 500,1 576 581,1 684 345
1863,Europe and Northern America,,,1829,Curaçao*,531,30,29,48,77,124,372,1 829,3 159
1864,Europe and Northern America,,,1829,Dominica,212,530,521,515,320,128,175,71,76
1865,Europe and Northern America,,,1829,Dominican Republic,214,381 869,561 744,733 659,843 953,1 088 281,1 324 734,1 553 471,1 772 345
1866,Europe and Northern America,,,1829,Grenada,308,4 486,5 967,7 922,8 706,10 342,10 561,10 018,9 912
1867,Europe and Northern America,,,1829,Guadeloupe*,312,30,20,20,10,0..,0..,0..,0..
1868,Europe and Northern America,,,1829,Haiti,332,287 491,425 061,532 314,620 307,758 115,872 320,939 331,1 023 872
1869,Europe and Northern America,,,1829,Jamaica,388,594 039,791 331,807 962,868 682,971 603,1 048 118,1 136 029,1 204 059
1870,Europe and Northern America,,,1829,Martinique*,474,8,0..,0..,0..,0..,0..,0..,0..
1871,Europe and Northern America,,,1829,Montserrat*,500,2,2,2,41,85,80,82,87
1872,Europe and Northern America,,,1829,Puerto Rico*,630,902 814,1 022 718,1 158 566,1 335 702,1 533 366,1 687 821,1 864 991,1 924 799
1873,Europe and Northern America,,,1829,Saint Kitts and Nevis,659,18,16,11,10,12,9,4,5
1874,Europe and Northern America,,,1829,Saint Lucia,662,1 691,2 217,2 884,3 466,5 134,6 607,6 769,7 588
1875,Europe and Northern America,,,1829,Saint Vincent and the Grenadines,670,4 357,5 902,7 955,8 796,12 209,13 779,13 947,14 832
1876,Europe and Northern America,,,1829,Trinidad and Tobago,780,165 736,171 626,263 979,274 339,297 542,305 558,292 534,304 951
1877,Europe and Northern America,,,1829,Turks and Caicos Islands*,796,159,138,98,57,7,7,4,4
1878,Europe and Northern America,,,1829,United States Virgin Islands*,850,14,14,15,8,0..,0..,0..,0..
1879,Europe and Northern America,,,1829,Central America,916,5 706 228,8 784 584,11 278 128,13 785 094,15 143 743,15 657 208,15 501 132,16 242 232
1880,Europe and Northern America,,,1829,Belize,84,12,15,17,22,32,33,26,29
1881,Europe and Northern America,,,1829,Costa Rica,188,1 913,2 516,3 229,4 218,6 017,6 800,7 215,7 884
1882,Europe and Northern America,,,1829,El Salvador,222,504 662,761 632,846 303,1 045 601,1 285 378,1 455 027,1 560 670,1 689 461
1883,Europe and Northern America,,,1829,Guatemala,320,238 791,343 776,469 052,669 553,842 169,974 075,1 166 217,1 320 881
1884,Europe and Northern America,,,1829,Honduras,340,115 749,195 068,274 612,409 201,546 416,677 722,921 948,1 168 497
1885,Europe and Northern America,,,1829,Mexico,484,4 539 456,7 110 670,9 306 879,11 263 851,12 033 413,12 095 994,11 349 508,11 484 931
1886,Europe and Northern America,,,1829,Nicaragua,558,182 589,258 552,234 002,242 410,279 867,293 993,342 716,406 840
1887,Europe and Northern America,,,1829,Panama,591,123 056,112 355,144 034,150 238,150 451,153 564,152 832,163 709
1888,Europe and Northern America,,,1829,South America,931,1 702 719,2 201 377,3 207 591,4 909 408,5 979 058,6 107 465,7 567 724,9 282 933
1889,Europe and Northern America,,,1829,Argentina,32,200 974,208 834,303 877,528 318,559 902,548 895,618 800,741 271
1890,Europe and Northern America,,,1829,Bolivia (Plurinational State of),68,6 132,9 975,16 297,126 181,226 610,178 039,195 957,209 942
1891,Europe and Northern America,,,1829,Brazil,76,192 699,256 173,446 987,692 752,865 886,932 802,1 289 235,1 570 464
1892,Europe and Northern America,,,1829,Chile,152,74 242,79 373,86 994,121 479,143 504,135 807,144 876,158 284
1893,Europe and Northern America,,,1829,Colombia,170,351 390,484 981,725 179,968 928,1 203 629,1 267 797,1 606 986,2 067 588
1894,Europe and Northern America,,,1829,Ecuador,218,164 384,264 984,449 604,864 319,1 034 049,959 947,990 101,1 098 396
1895,Europe and Northern America,,,1829,Falkland Islands (Malvinas)*,238,0..,0..,0..,0..,1,2,1,1
1896,Europe and Northern America,,,1829,French Guiana*,254,7,3,4,2,0..,0..,0..,0..
1897,Europe and Northern America,,,1829,Guyana,328,188 798,210 148,300 497,340 136,346 527,368 127,363 708,396 791
1898,Europe and Northern America,,,1829,Paraguay,600,7 386,7 654,7 934,30 613,90 835,77 263,113 666,154 743
1899,Europe and Northern America,,,1829,Peru,604,195 274,312 736,396 591,591 324,767 841,803 972,881 686,1 057 604
1900,Europe and Northern America,,,1829,Suriname,740,181 079,193 985,202 320,212 777,211 575,208 550,216 372,218 248
1901,Europe and Northern America,,,1829,Uruguay,858,10 366,15 339,29 184,82 019,98 211,87 997,97 058,103 801
1902,Europe and Northern America,,,1829,Venezuela (Bolivarian Republic of),862,129 988,157 192,242 123,350 560,430 488,538 267,1 049 278,1 505 800
1903,Europe and Northern America,,,1829,NORTHERN AMERICA,905,1 776 857,1 958 624,1 949 052,1 997 928,2 096 581,2 229 348,2 252 577,2 351 633
1904,Europe and Northern America,,,1829,Bermuda*,60,14,10,12,15,22,28,26,29
1905,Europe and Northern America,,,1829,Canada,124,1 014 815,1 158 228,1 115 419,1 108 304,1 093 552,1 126 137,1 114 628,1 144 523
1906,Europe and Northern America,,,1829,Greenland*,304,9 842,11 028,12 427,13 377,15 079,16 556,17 290,18 010
1907,Europe and Northern America,,,1829,Saint Pierre and Miquelon*,666,11,26,41,21,1,0..,0..,0..
1908,Europe and Northern America,,,1829,United States of America*,840,752 175,789 332,821 153,876 211,987 927,1 086 627,1 120 633,1 189 071
1909,Europe and Northern America,,,1829,OCEANIA,909,201 615,230 646,267 746,290 083,313 740,321 904,324 512,335 197
1910,Europe and Northern America,,,1829,Australia/New Zealand,927,185 088,211 622,245 709,265 250,287 897,295 759,298 730,310 089
1911,Europe and Northern America,,,1829,Australia*,36,135 854,153 884,178 059,193 131,210 756,221 093,229 247,243 725
1912,Europe and Northern America,,,1829,New Zealand*,554,49 234,57 738,67 650,72 119,77 141,74 666,69 483,66 364
1913,Europe and Northern America,,,1829,Melanesia,928,15 546,18 435,21 827,24 349,25 053,25 369,25 027,24 305
1914,Europe and Northern America,,,1829,Fiji,242,15 526,18 399,21 774,24 258,24 919,25 201,24 865,24 125
1915,Europe and Northern America,,,1829,New Caledonia*,540,1,1,3,3,7,13,10,11
1916,Europe and Northern America,,,1829,Papua New Guinea,598,9,16,19,26,34,41,53,59
1917,Europe and Northern America,,,1829,Solomon Islands,90,7,15,22,17,11,20,9,10
1918,Europe and Northern America,,,1829,Vanuatu,548,3,4,9,45,82,94,90,100
1919,Europe and Northern America,,,1829,Micronesia,954,29,28,28,115,216,217,207,220
1920,Europe and Northern America,,,1829,Guam*,316,2,2,3,2,0..,0..,0..,0..
1921,Europe and Northern America,,,1829,Kiribati,296,1,4,7,6,10,19,13,15
1922,Europe and Northern America,,,1829,Marshall Islands,584,3,1,0..,1,1,1,0..,0..
1923,Europe and Northern America,,,1829,Micronesia (Fed. States of),583,0..,0..,0..,0..,1,2,0..,0..
1924,Europe and Northern America,,,1829,Nauru,520,0..,1,1,2,2,7,4,3
1925,Europe and Northern America,,,1829,Northern Mariana Islands*,580,14,9,4,2,0..,0..,0..,0..
1926,Europe and Northern America,,,1829,Palau,585,9,11,13,102,202,188,190,202
1927,Europe and Northern America,,,1829,Polynesia*,957,952,561,182,369,574,559,548,583
1928,Europe and Northern America,,,1829,American Samoa*,16,3,8,14,7,0..,0..,0..,0..
1929,Europe and Northern America,,,1829,Cook Islands*,184,5,5,5,3,0..,0..,0..,0..
1930,Europe and Northern America,,,1829,French Polynesia*,258,19,18,18,17,17,24,18,20
1931,Europe and Northern America,,,1829,Samoa,882,10,15,20,251,506,485,491,525
1932,Europe and Northern America,,,1829,Tokelau*,772,3,2,2,2,1,0..,0..,0..
1933,Europe and Northern America,,,1829,Tonga,776,4,8,12,19,21,30,28,28
1934,Europe and Northern America,,,1829,Tuvalu,798,24,54,85,56,28,18,11,10
1935,Europe and Northern America,,,1829,Wallis and Futuna Islands*,876,884,451,26,14,1,2,0..,0..
1936,Europe and Northern America,,,1829,Others,2003,7 335 708,8 677 462,10 704 433,12 114 974,12 636 906,13 774 167,15 551 883,14 259 751
